alcaldia,colonia,codigo_postal,tipo_poblacion,ult_grado_estudios,estatus_estudios,categoria_profesion,profesion,estado_civil,dependientes_economicos,num_dependientes_economicos,tiempo_buscando_empleo,estatus
ALVARO OBREGON,1A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,1A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NO,PERSONA SOLTERA,CON DEPENDIENTES,3,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,1A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,CIENCIA POLITICA Y ADMON PUBLICA,PERSONA CASADA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,1A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,1A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,1A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,5,3 A 6 MESES,APROBADO
ALVARO OBREGON,1A SECCION CAÑADA,1269,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,1A SECCION CAÑADA,1269,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Técnico,ARQUITECTO,PERSONA CASADA,CON DEPENDIENTES,2,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,1A SECCION CAÑADA,1269,POBLACION GENERAL,SECUNDARIA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,1A SECCION CAÑADA,1269,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NO,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,4,0 A 3 MESES,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
